,nblobs,areas,area0,area1
6845,2,,2187.0,1838.0
6846,2,,2172.0,1847.5
6847,2,,2189.5,1871.0
6848,2,,2189.5,1861.5
6849,2,,2190.5,1871.5
6850,2,,2167.5,1867.0
6851,2,,2164.0,1873.5
6852,2,,2162.0,1867.5
6853,2,,2183.0,1878.0
6854,2,,2175.0,1893.0
6855,2,,2177.5,1902.0
6856,2,,2166.0,1887.0
6857,2,,2157.0,1872.0
6858,2,,2207.5,1877.5
6859,2,,2208.5,1906.0
6860,2,,2207.5,1865.5
6861,2,,2220.5,1875.5
6862,2,,2251.5,1878.5
6863,2,,2301.5,1884.5
6864,2,,2319.5,1897.5
6865,2,,2314.5,1901.0
6866,2,,2312.0,1900.5
6867,2,,2305.5,1917.5
6868,2,,2321.5,1923.5
6869,2,,2330.5,1922.5
6870,2,,2350.5,1918.5
6871,2,,2357.0,1870.0
6872,2,,2363.0,1906.5
6873,2,,2334.0,2006.5
6874,2,,2308.0,1960.5
6875,2,,2333.5,1994.5
6876,2,,2344.5,1980.0
6877,2,,2346.5,1983.5
6878,0,,,
6879,0,,,
6880,2,,2333.0,2015.0
6881,2,,2318.5,1978.0
6882,2,,2341.5,2030.5
6883,2,,2285.5,2035.5
6884,2,,2274.5,2080.0
6885,2,,2229.5,2074.0
6886,2,,2195.0,2083.5
6887,2,,2130.5,2040.0
6888,2,,2076.5,2025.0
6889,2,,2111.5,2040.0
6890,2,,2120.0,2059.0
6891,2,,2097.0,2061.5
6892,2,,2065.5,2065.0
6893,2,,2071.5,2064.5
6894,2,,2056.0,2024.5
6895,2,,2080.5,2015.5
6896,2,,2084.0,2026.5
6897,2,,2060.5,1982.0
6898,2,,2036.5,1990.5
6899,2,,2001.5,1971.0
6900,2,,2011.5,1973.0
6901,2,,2015.5,1964.5
6902,2,,2048.0,1955.0
6903,2,,2054.0,1954.5
6904,2,,2049.0,1935.5
6905,2,,2036.0,1874.0
6906,2,,2046.5,1883.5
6907,2,,2073.5,1889.5
6908,2,,2057.5,1872.0
6909,2,,2083.0,1868.0
6910,2,,2097.0,1932.5
6911,2,,2136.5,1879.5
6912,2,,2171.0,1819.5
6913,2,,2185.5,1771.0
6914,2,,2163.0,1773.0
6915,2,,2183.5,1815.0
6916,2,,2199.0,1821.5
6917,2,,2218.0,1813.0
6918,2,,2203.5,1793.0
6919,2,,2209.0,1843.0
6920,2,,2226.0,1829.5
6921,2,,2231.5,1843.5
6922,2,,2244.5,1813.0
6923,2,,2278.0,1815.5
6924,2,,2296.0,1843.0
6925,2,,2271.5,1859.0
6926,2,,2273.5,1865.5
6927,2,,2328.0,1860.0
6928,2,,2359.0,1853.5
6929,2,,2376.0,1827.5
6930,2,,2355.5,1861.5
6931,2,,2362.5,1882.0
6932,2,,2347.0,1876.0
6933,2,,2373.5,1872.0
6934,2,,2375.5,1867.5
6935,2,,2425.0,1964.0
6936,2,,2421.0,2121.5
6937,2,,2424.0,2055.5
6938,2,,2457.0,2087.5
6939,2,,2431.0,2040.5
6940,2,,2433.5,2020.5
6941,2,,2486.5,2023.5
6942,2,,2426.5,2083.5
6943,2,,2417.0,2016.0
6944,2,,2408.0,1979.0
6945,2,,2397.5,2034.0
6946,2,,2372.5,2007.0
6947,2,,2390.5,2104.5
6948,2,,2390.0,2107.5
6949,0,,,
6950,2,,2373.0,2043.0
6951,2,,2325.5,2032.5
6952,2,,2329.5,2090.0
6953,2,,2352.0,2120.5
6954,2,,2362.5,2075.5
6955,2,,2355.0,2126.5
6956,2,,2324.0,2170.0
6957,2,,2319.0,2160.0
6958,2,,2332.5,2220.0
6959,2,,2332.0,2190.0
6960,2,,2358.0,2100.0
6961,2,,2327.0,2194.0
6962,2,,2342.5,2069.5
6963,2,,2347.5,2161.5
6964,2,,2335.0,2079.5
6965,2,,2337.0,2122.5
6966,2,,2334.0,2122.5
6967,2,,2349.5,2194.0
6968,2,,2352.0,2131.5
6969,2,,2367.0,2033.0
6970,2,,2413.0,2048.0
6971,2,,2414.5,2080.5
6972,2,,2362.5,2192.5
6973,2,,2353.5,2187.5
6974,2,,2374.5,2143.5
6975,0,,,
6976,2,,2411.5,2127.0
6977,2,,2389.5,2072.0
6978,2,,2365.5,2158.0
6979,2,,2338.0,2154.0
6980,2,,2349.5,2192.5
6981,2,,2324.0,2244.5
6982,2,,2255.5,2237.0
6983,2,,2257.5,2212.0
6984,2,,2273.5,2250.0
6985,2,,2242.5,2139.5
6986,2,,2215.0,2208.5
6987,2,,2255.5,2175.0
6988,2,,2184.0,2073.5
6989,2,,2220.5,2113.5
6990,2,,2178.5,2072.0
6991,2,,2280.0,2140.0
6992,2,,2133.0,2064.5
6993,2,,2130.0,2066.0
6994,0,,,
6995,0,,,
6996,2,,2138.0,2066.0
6997,2,,2164.5,2057.5
6998,2,,2192.0,2061.0
6999,2,,2195.5,2054.5
7000,2,,2194.0,2061.0
7001,2,,2184.0,2066.0
7002,2,,2132.0,2060.5
7003,2,,2065.0,2057.5
7004,2,,2081.5,2069.5
7005,2,,2158.0,2063.0
7006,2,,2126.5,2048.5
7007,2,,2078.0,2032.0
7008,2,,2051.0,2031.5
7009,2,,2037.5,2026.5
7010,2,,2082.5,2028.5
7011,2,,2069.0,2033.5
7012,2,,2022.5,1993.0
7013,2,,2031.5,1949.5
7014,2,,2037.5,1937.0
7015,2,,2045.0,2045.0
7016,2,,2032.0,1975.0
7017,2,,2046.0,1999.0
7018,2,,2081.5,2056.5
7019,2,,2105.5,2036.5
7020,2,,2129.0,2042.0
7021,2,,2114.5,2029.5
7022,2,,2108.5,2029.0
7023,2,,2091.0,2013.5
7024,2,,2112.0,2025.5
7025,2,,2099.0,2040.0
7026,2,,2099.5,2055.5
7027,2,,2090.5,2056.5
7028,2,,2093.5,2070.5
7029,2,,2073.5,2060.5
7030,2,,2062.5,2062.5
7031,2,,2095.0,2039.0
